: Politiker,Partei
Merkel,CDU
Altmaier,CDU
Schröder,SPD
Gabriel,SPD
Steinmeier,SPD
Seehofer,CSU
Westerwelle,FDP
Wagenknecht,Linkspartei
Gysi,PDS
Obama,Demokraten
Bush,Republikaner
Hitler,NSDAP
Honecker,SED
Erdogan,AKP
: Werk,Erzeuger
Tisch,Tischler
Garten,Gärtner
Foto,Fotograf
Film,Regisseur
Auto,Kfz-Mechaniker
: Bereich,Berufsbezeichnung
Medizin,Arzt
Physik,Physiker
Biologie,Biologe
Mathematik,Mathematiker
Chemie,Chemiker
Geologie,Geologe
Archäologie,Archäologe
Informatik,Informatiker
Soziologie,Soziologe
Psychologie,Psychologe
Physiotherapie,Physiotherapeut
Meteorologie,Meteorologe
Jura,Jurist
Astronomie,Astronom
Musik,Musiker
Kunst,Künstler
: Land,Währung
China,Yuan
Deutschland,Euro
Frankreich,Euro
Belgien,Euro
Dänemark,Krone
Japan,Yen
Russland,Rubel
USA,Dollar
Großbritannien,Pfund
Kroatien,Kuna
Südafrika,Rand
Indien,Rupien
Schweiz,Franken
Türkei,Lira
: Hauptstadt,Land
Athen,Griechenland
Bagdad,Irak
Berlin,Deutschland
Helsinki,Finnland
Kairo,Ägypten
Kiew,Ukraine
London,England
Melbourne,Australien
Moskau,Russland
Oslo,Norwegen
Ottawa,Kanada
Paris,Frankreich
Stockholm,Schweden
Teheran,Iran
Tokio,Japan
Washington,USA
Wien,Österreich
Belgien,Brüssel
China,Peking
Japan,Tokio
Türkei,Istanbul
Ungarn,Budapest
Tschechien,Prag
Tunesien,Tunis
Pakistand,Islamabad
: Bundesland,Landeshauptstadt
Baden-Württemberg,Stuttgart
Bayern,München
Brandenburg,Potsdam
Hessen,Wiesbaden
Mecklenburg-Vorpommern,Schwerin
Niedersachen,Hannover
Nordrhein-Westfalen,Düsseldorf
Rheinland-Pfalz,Mainz
Saarland,Saarbrücken
Sachsen-Anhalt,Magdeburg
Schleswig-Holstein,Kiel
Thüringen,Erfurt
: Land,Kontinent
Brasilien,Südamerika
Argentinien,Südamerika
Kolumbien,Südamerika
Bolivien,Südamerika
Chile,Südamerika
Uruguay,Südamerika
Honduras,Südamerika
Deutschland,Europa
Dänemark,Europa
Frankreich,Europa
Spanien,Europa
Griechenland,Europa
Malta,Europa
Lettland,Europa
Finnland,Europa
Schweden,Europa
Großbritannien,Europa
China,Asien
Japan,Asien
Indien,Asien
Vietnam,Asien
Taiwan,Asien
Südkorea,Asien
Thailand,Asien
Pakistan,Asien
USA,Nordamerika
Kanada,Nordamerika
Mexiko,Nordamerika
Ägypten,Afrika
Libyen,Afrika
Südafrika,Afrika
Kongo,Afrika
Somalia,Afrika
Sudan,Afrika
Marokko,Afrika
: Land,Sprache/Adjektiv
China,Chinesisch
Deutschland,Deutsch
England,Englisch
Frankreich,Französisch
Italien,Italienisch
Japan,Japanisch
Norwegen,Norwegisch
Polen,Polnisch
Russland,Russisch
Schweden,Schwedisch
Spanien,Spanisch
Ukraine,Ukrainisch
Brasilien,Brasilianisch
Italien,Italienisch
Ungarn,Ungarisch
Türkei,Türkisch
Bayern,Bayerisch
Pakistan,Urdu
